ETHNIC_GROUP_TB_20B,num_ETHNIC_GROUP_TB_20B,dat_11,common_cats
"Asian, Asian British or Asian Welsh: Bangladeshi",1,Asian: Bangladeshi,"Asian, Asian British or Asian Welsh: Bangladeshi"
"Asian, Asian British or Asian Welsh: Chinese",2,Asian: Chinese,"Asian, Asian British or Asian Welsh: Chinese"
"Asian, Asian British or Asian Welsh: Indian",3,Asian: Indian,"Asian, Asian British or Asian Welsh: Indian"
"Asian, Asian British or Asian Welsh: Pakistani",4,Asian: Pakistani,"Asian, Asian British or Asian Welsh: Pakistani"
"Asian, Asian British or Asian Welsh: Other Asian",5,Asian: Other Asian,"Asian, Asian British or Asian Welsh: Other Asian"
"Black, Black British, Black Welsh, Caribbean or African: African",6,Black: African,"Black, Black British, Black Welsh, Caribbean or African: African"
"Black, Black British, Black Welsh, Caribbean or African: Caribbean",7,Black: Caribbean,"Black, Black British, Black Welsh, Caribbean or African: Caribbean"
"Black, Black British, Black Welsh, Caribbean or African: Other Black",8,Black: Other Black,"Black, Black British, Black Welsh, Caribbean or African: Other Black"
Mixed or Multiple ethnic groups: White and Asian,9,Mixed: White and Asian,Mixed or Multiple ethnic groups: White and Asian
Mixed or Multiple ethnic groups: White and Black African ,10,Mixed: White and Black African,Mixed or Multiple ethnic groups: White and Black African 
Mixed or Multiple ethnic groups: White and Black Caribbean,11,Mixed: White and Black Caribbean,Mixed or Multiple ethnic groups: White and Black Caribbean
Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,12,Mixed: Other Mixed,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups
"White: English, Welsh, Scottish, Northern Irish or British",13,White: British,"White: English, Welsh, Scottish, Northern Irish or British"
White: Irish,14,White: Irish,White: Irish
White: Gypsy or Irish Traveller,15,White: Gypsy or Irish Traveller,White: Gypsy or Irish Traveller
White: Roma,16,,White: Other White
White: Other White,17,White: Other White,White: Other White
Other ethnic group: Arab,18,Other: Arab,Other ethnic group: Arab
Other ethnic group: Any other ethnic group,19,Other: Any other,Other ethnic group: Any other ethnic group
,,,
