date,geography,geography_code,Rural_Urban,total_pop,value,passports_region,passports,percs
2011,Camden,E09000007,Total,220338,157,Africa,Ghana,0.07
2011,City of London,E09000001,Total,7375,7,Africa,Ghana,0.09
2011,Hackney,E09000012,Total,246270,1651,Africa,Ghana,0.67
2011,Hammersmith and Fulham,E09000013,Total,182493,222,Africa,Ghana,0.12
2011,Haringey,E09000014,Total,254926,1606,Africa,Ghana,0.63
2011,Islington,E09000019,Total,206125,270,Africa,Ghana,0.13
2011,Kensington and Chelsea,E09000020,Total,158649,72,Africa,Ghana,0.05
2011,Lambeth,E09000022,Total,303086,1882,Africa,Ghana,0.62
2011,Lewisham,E09000023,Total,275885,1396,Africa,Ghana,0.51
2011,Newham,E09000025,Total,307984,2490,Africa,Ghana,0.81
2011,Southwark,E09000028,Total,288283,2171,Africa,Ghana,0.75
2011,Tower Hamlets,E09000030,Total,254096,320,Africa,Ghana,0.13
2011,Wandsworth,E09000032,Total,306995,666,Africa,Ghana,0.22
2011,Westminster,E09000033,Total,219396,140,Africa,Ghana,0.06
2011,Barking and Dagenham,E09000002,Total,185911,1545,Africa,Ghana,0.83
2011,Barnet,E09000003,Total,356386,837,Africa,Ghana,0.23
2011,Bexley,E09000004,Total,231997,501,Africa,Ghana,0.22
2011,Brent,E09000005,Total,311215,1195,Africa,Ghana,0.38
2011,Bromley,E09000006,Total,309392,365,Africa,Ghana,0.12
2011,Croydon,E09000008,Total,363378,2605,Africa,Ghana,0.72
2011,Ealing,E09000009,Total,338449,513,Africa,Ghana,0.15
2011,Enfield,E09000010,Total,312466,2257,Africa,Ghana,0.72
2011,Greenwich,E09000011,Total,254557,1245,Africa,Ghana,0.49
2011,Harrow,E09000015,Total,239056,401,Africa,Ghana,0.17
2011,Havering,E09000016,Total,237232,317,Africa,Ghana,0.13
2011,Hillingdon,E09000017,Total,273936,262,Africa,Ghana,0.1
2011,Hounslow,E09000018,Total,253957,521,Africa,Ghana,0.21
2011,Kingston upon Thames,E09000021,Total,160060,95,Africa,Ghana,0.06
2011,Merton,E09000024,Total,199693,1166,Africa,Ghana,0.58
2011,Redbridge,E09000026,Total,278970,471,Africa,Ghana,0.17
2011,Richmond upon Thames,E09000027,Total,186990,66,Africa,Ghana,0.04
2011,Sutton,E09000029,Total,190146,323,Africa,Ghana,0.17
2011,Waltham Forest,E09000031,Total,258249,1498,Africa,Ghana,0.58
2011,Camden,E09000007,Total,220338,421,Africa,Nigeria,0.19
2011,City of London,E09000001,Total,7375,7,Africa,Nigeria,0.09
2011,Hackney,E09000012,Total,246270,3079,Africa,Nigeria,1.25
2011,Hammersmith and Fulham,E09000013,Total,182493,370,Africa,Nigeria,0.2
2011,Haringey,E09000014,Total,254926,1330,Africa,Nigeria,0.52
