date,geography,geography_code,Rural_Urban,total_pop,value,passports_region,passports,percs
2011,Camden,E09000007,Total,17240,34,Africa,Ghana,0.03
2011,City of London,E09000001,Total,544,1,Africa,Ghana,0.01
2011,Hackney,E09000012,Total,13887,-158,Africa,Ghana,-0.0700000000000001
2011,Hammersmith and Fulham,E09000013,Total,2492,25,Africa,Ghana,-0.02
2011,Haringey,E09000014,Total,37136,-115,Africa,Ghana,-0.13
2011,Islington,E09000019,Total,12188,-21,Africa,Ghana,-0.03
2011,Kensington and Chelsea,E09000020,Total,11892,6,Africa,Ghana,-0.05
2011,Lambeth,E09000022,Total,65732,142,Africa,Ghana,-0.12
2011,Lewisham,E09000023,Total,1647,93,Africa,Ghana,-0.01
2011,Newham,E09000025,Total,13923,489,Africa,Ghana,0.09
2011,Southwark,E09000028,Total,29347,216,Africa,Ghana,0.05
2011,Tower Hamlets,E09000030,Total,13467,1,Africa,Ghana,-0.03
2011,Wandsworth,E09000032,Total,12062,55,Africa,Ghana,-0.02
2011,Westminster,E09000033,Total,23788,3,Africa,Ghana,0.04
2011,Barking and Dagenham,E09000002,Total,19697,98,Africa,Ghana,-0.0299999999999999
2011,Barnet,E09000003,Total,-1464,-37,Africa,Ghana,-0.03
2011,Bexley,E09000004,Total,-7069,29,Africa,Ghana,-0.02
2011,Brent,E09000005,Total,34762,96,Africa,Ghana,0.02
2011,Bromley,E09000006,Total,-945,0,Africa,Ghana,-0.02
2011,Croydon,E09000008,Total,1743,193,Africa,Ghana,0.0800000000000001
2011,Ealing,E09000009,Total,46808,3,Africa,Ghana,-0.05
2011,Enfield,E09000010,Total,27753,13,Africa,Ghana,-0.02
2011,Greenwich,E09000011,Total,4092,62,Africa,Ghana,0.01
2011,Harrow,E09000015,Total,30951,48,Africa,Ghana,0.03
2011,Havering,E09000016,Total,39216,16,Africa,Ghana,-0.03
2011,Hillingdon,E09000017,Total,38226,23,Africa,Ghana,0
2011,Hounslow,E09000018,Total,1296,87,Africa,Ghana,-0.00999999999999998
2011,Kingston upon Thames,E09000021,Total,4498,4,Africa,Ghana,0.04
2011,Merton,E09000024,Total,13686,70,Africa,Ghana,0.02
2011,Redbridge,E09000026,Total,-15714,57,Africa,Ghana,0.03
2011,Richmond upon Thames,E09000027,Total,9649,-4,Africa,Ghana,-0.04
2011,Sutton,E09000029,Total,11676,40,Africa,Ghana,0.03
2011,Waltham Forest,E09000031,Total,18517,25,Africa,Ghana,0.02
2011,Camden,E09000007,Total,17240,-18,Africa,Nigeria,0.01
2011,City of London,E09000001,Total,544,-1,Africa,Nigeria,0.01
2011,Hackney,E09000012,Total,13887,-5,Africa,Nigeria,-0.05
2011,Hammersmith and Fulham,E09000013,Total,2492,-17,Africa,Nigeria,0
2011,Haringey,E09000014,Total,37136,-64,Africa,Nigeria,-0.12
2011,Islington,E09000019,Total,12188,131,Africa,Nigeria,0.03
2011,Kensington and Chelsea,E09000020,Total,11892,-10,Africa,Nigeria,-0.03
2011,Lambeth,E09000022,Total,65732,491,Africa,Nigeria,-0.0499999999999999
2011,Lewisham,E09000023,Total,1647,676,Africa,Nigeria,0.23
2011,Newham,E09000025,Total,13923,-84,Africa,Nigeria,-0.0800000000000001
2011,Southwark,E09000028,Total,29347,64,Africa,Nigeria,-0.21
2011,Tower Hamlets,E09000030,Total,13467,19,Africa,Nigeria,0.04
2011,Wandsworth,E09000032,Total,12062,55,Africa,Nigeria,0
2011,Westminster,E09000033,Total,23788,19,Africa,Nigeria,-0.04
2011,Barking and Dagenham,E09000002,Total,19697,833,Africa,Nigeria,0.17
2011,Barnet,E09000003,Total,-1464,86,Africa,Nigeria,0.01
2011,Bexley,E09000004,Total,-7069,-516,Africa,Nigeria,-0.22
2011,Brent,E09000005,Total,34762,73,Africa,Nigeria,0.01
2011,Bromley,E09000006,Total,-945,-131,Africa,Nigeria,-0.07
2011,Croydon,E09000008,Total,1743,391,Africa,Nigeria,0.14
2011,Ealing,E09000009,Total,46808,-3,Africa,Nigeria,-0.00999999999999998
2011,Enfield,E09000010,Total,27753,-85,Africa,Nigeria,-0.0600000000000001
2011,Greenwich,E09000011,Total,4092,94,Africa,Nigeria,0.00999999999999979
2011,Harrow,E09000015,Total,30951,71,Africa,Nigeria,-0.03
2011,Havering,E09000016,Total,39216,-130,Africa,Nigeria,-0.15
2011,Hillingdon,E09000017,Total,38226,77,Africa,Nigeria,0
2011,Hounslow,E09000018,Total,1296,-15,Africa,Nigeria,-0.02
2011,Kingston upon Thames,E09000021,Total,4498,13,Africa,Nigeria,-0.02
2011,Merton,E09000024,Total,13686,79,Africa,Nigeria,0.01
2011,Redbridge,E09000026,Total,-15714,140,Africa,Nigeria,0.1
2011,Richmond upon Thames,E09000027,Total,9649,18,Africa,Nigeria,-0.04
2011,Sutton,E09000029,Total,11676,32,Africa,Nigeria,0
2011,Waltham Forest,E09000031,Total,18517,0,Africa,Nigeria,-0.07
2011,Camden,E09000007,Total,17240,62,Africa,Other Central and Western Africa,0
2011,City of London,E09000001,Total,544,0,Africa,Other Central and Western Africa,-0.01
2011,Hackney,E09000012,Total,13887,161,Africa,Other Central and Western Africa,0.07
2011,Hammersmith and Fulham,E09000013,Total,2492,28,Africa,Other Central and Western Africa,0.01
2011,Haringey,E09000014,Total,37136,71,Africa,Other Central and Western Africa,-0.04
2011,Islington,E09000019,Total,12188,53,Africa,Other Central and Western Africa,-0.02
2011,Kensington and Chelsea,E09000020,Total,11892,6,Africa,Other Central and Western Africa,0.02
2011,Lambeth,E09000022,Total,65732,-73,Africa,Other Central and Western Africa,-0.05
2011,Lewisham,E09000023,Total,1647,50,Africa,Other Central and Western Africa,-0.03
2011,Newham,E09000025,Total,13923,22,Africa,Other Central and Western Africa,0.04
2011,Southwark,E09000028,Total,29347,290,Africa,Other Central and Western Africa,0.02
2011,Tower Hamlets,E09000030,Total,13467,-7,Africa,Other Central and Western Africa,-0.02
2011,Wandsworth,E09000032,Total,12062,34,Africa,Other Central and Western Africa,0.02
2011,Westminster,E09000033,Total,23788,-12,Africa,Other Central and Western Africa,-0.01
2011,Barking and Dagenham,E09000002,Total,19697,163,Africa,Other Central and Western Africa,0.04
2011,Barnet,E09000003,Total,-1464,115,Africa,Other Central and Western Africa,0.05
2011,Bexley,E09000004,Total,-7069,7,Africa,Other Central and Western Africa,-0.02
2011,Brent,E09000005,Total,34762,42,Africa,Other Central and Western Africa,0.04
2011,Bromley,E09000006,Total,-945,8,Africa,Other Central and Western Africa,0.02
2011,Croydon,E09000008,Total,1743,-44,Africa,Other Central and Western Africa,-0.04
2011,Ealing,E09000009,Total,46808,-50,Africa,Other Central and Western Africa,0.03
