date,geography,geography_code,Rural_Urban,total_pop,value,passports_region,passports,percs
2011,North East,E12000001,Total,2596886,210,Africa,Ghana,0.01
2011,North West,E12000002,Total,7052177,1773,Africa,Ghana,0.03
2011,Yorkshire and The Humber,E12000003,Total,5283733,1615,Africa,Ghana,0.03
2011,East Midlands,E12000004,Total,4533222,1672,Africa,Ghana,0.04
2011,West Midlands,E12000005,Total,5601847,2287,Africa,Ghana,0.04
2011,East,E12000006,Total,5846965,3757,Africa,Ghana,0.06
2011,London,E12000007,Total,8173941,29233,Africa,Ghana,0.36
2011,South East,E12000008,Total,8634750,4878,Africa,Ghana,0.06
2011,South West,E12000009,Total,5288935,926,Africa,Ghana,0.02
2011,North East,E12000001,Total,2596886,2308,Africa,Nigeria,0.09
2011,North West,E12000002,Total,7052177,9746,Africa,Nigeria,0.14
2011,Yorkshire and The Humber,E12000003,Total,5283733,4559,Africa,Nigeria,0.09
2011,East Midlands,E12000004,Total,4533222,4549,Africa,Nigeria,0.1
2011,West Midlands,E12000005,Total,5601847,6563,Africa,Nigeria,0.12
2011,East,E12000006,Total,5846965,8977,Africa,Nigeria,0.15
2011,London,E12000007,Total,8173941,61893,Africa,Nigeria,0.76
2011,South East,E12000008,Total,8634750,9604,Africa,Nigeria,0.11
2011,South West,E12000009,Total,5288935,2314,Africa,Nigeria,0.04
2011,North East,E12000001,Total,2596886,541,Africa,Other Central and Western Africa,0.02
2011,North West,E12000002,Total,7052177,2481,Africa,Other Central and Western Africa,0.04
2011,Yorkshire and The Humber,E12000003,Total,5283733,2017,Africa,Other Central and Western Africa,0.04
2011,East Midlands,E12000004,Total,4533222,1318,Africa,Other Central and Western Africa,0.03
2011,West Midlands,E12000005,Total,5601847,2852,Africa,Other Central and Western Africa,0.05
2011,East,E12000006,Total,5846965,1524,Africa,Other Central and Western Africa,0.03
2011,London,E12000007,Total,8173941,17340,Africa,Other Central and Western Africa,0.21
2011,South East,E12000008,Total,8634750,3032,Africa,Other Central and Western Africa,0.04
2011,South West,E12000009,Total,5288935,1150,Africa,Other Central and Western Africa,0.02
2011,North East,E12000001,Total,2596886,1632,Africa,North Africa,0.06
2011,North West,E12000002,Total,7052177,3267,Africa,North Africa,0.05
2011,Yorkshire and The Humber,E12000003,Total,5283733,3848,Africa,North Africa,0.07
2011,East Midlands,E12000004,Total,4533222,2249,Africa,North Africa,0.05
2011,West Midlands,E12000005,Total,5601847,2209,Africa,North Africa,0.04
2011,East,E12000006,Total,5846965,1983,Africa,North Africa,0.03
2011,London,E12000007,Total,8173941,13432,Africa,North Africa,0.16
2011,South East,E12000008,Total,8634750,3275,Africa,North Africa,0.04
2011,South West,E12000009,Total,5288935,1358,Africa,North Africa,0.03
2011,North East,E12000001,Total,2596886,203,Africa,Kenya,0.01
2011,North West,E12000002,Total,7052177,973,Africa,Kenya,0.01
2011,Yorkshire and The Humber,E12000003,Total,5283733,1026,Africa,Kenya,0.02
2011,East Midlands,E12000004,Total,4533222,1308,Africa,Kenya,0.03
2011,West Midlands,E12000005,Total,5601847,1057,Africa,Kenya,0.02
2011,East,E12000006,Total,5846965,1631,Africa,Kenya,0.03
2011,London,E12000007,Total,8173941,5730,Africa,Kenya,0.07
2011,South East,E12000008,Total,8634750,2481,Africa,Kenya,0.03
2011,South West,E12000009,Total,5288935,766,Africa,Kenya,0.01
2011,North East,E12000001,Total,2596886,538,Africa,Other South and Eastern Africa,0.02
2011,North West,E12000002,Total,7052177,3274,Africa,Other South and Eastern Africa,0.05
2011,Yorkshire and The Humber,E12000003,Total,5283733,2878,Africa,Other South and Eastern Africa,0.05
2011,East Midlands,E12000004,Total,4533222,3156,Africa,Other South and Eastern Africa,0.07
2011,West Midlands,E12000005,Total,5601847,3394,Africa,Other South and Eastern Africa,0.06
2011,East,E12000006,Total,5846965,4104,Africa,Other South and Eastern Africa,0.07
2011,London,E12000007,Total,8173941,23772,Africa,Other South and Eastern Africa,0.29
2011,South East,E12000008,Total,8634750,7224,Africa,Other South and Eastern Africa,0.08
2011,South West,E12000009,Total,5288935,1606,Africa,Other South and Eastern Africa,0.03
2011,North East,E12000001,Total,2596886,1,Africa,Somalia,0
2011,North West,E12000002,Total,7052177,75,Africa,Somalia,0
2011,Yorkshire and The Humber,E12000003,Total,5283733,105,Africa,Somalia,0
2011,East Midlands,E12000004,Total,4533222,64,Africa,Somalia,0
2011,West Midlands,E12000005,Total,5601847,125,Africa,Somalia,0
2011,East,E12000006,Total,5846965,19,Africa,Somalia,0
2011,London,E12000007,Total,8173941,678,Africa,Somalia,0.01
2011,South East,E12000008,Total,8634750,23,Africa,Somalia,0
2011,South West,E12000009,Total,5288935,64,Africa,Somalia,0
2011,North East,E12000001,Total,2596886,746,Africa,South Africa,0.03
2011,North West,E12000002,Total,7052177,2569,Africa,South Africa,0.04
2011,Yorkshire and The Humber,E12000003,Total,5283733,2147,Africa,South Africa,0.04
2011,East Midlands,E12000004,Total,4533222,2508,Africa,South Africa,0.06
2011,West Midlands,E12000005,Total,5601847,2582,Africa,South Africa,0.05
2011,East,E12000006,Total,5846965,6559,Africa,South Africa,0.11
2011,London,E12000007,Total,8173941,21986,Africa,South Africa,0.27
2011,South East,E12000008,Total,8634750,15092,Africa,South Africa,0.17
2011,South West,E12000009,Total,5288935,4372,Africa,South Africa,0.08
2011,North East,E12000001,Total,2596886,896,Africa,Zimbabwe,0.03
2011,North West,E12000002,Total,7052177,3366,Africa,Zimbabwe,0.05
2011,Yorkshire and The Humber,E12000003,Total,5283733,4741,Africa,Zimbabwe,0.09
2011,East Midlands,E12000004,Total,4533222,5095,Africa,Zimbabwe,0.11
2011,West Midlands,E12000005,Total,5601847,5944,Africa,Zimbabwe,0.11
2011,East,E12000006,Total,5846965,7280,Africa,Zimbabwe,0.12
2011,London,E12000007,Total,8173941,8529,Africa,Zimbabwe,0.1
2011,South East,E12000008,Total,8634750,9918,Africa,Zimbabwe,0.11
2011,South West,E12000009,Total,5288935,2142,Africa,Zimbabwe,0.04
2011,North East,E12000001,Total,2596886,554,Antarctica and Oceania,Australia,0.02
2011,North West,E12000002,Total,7052177,2318,Antarctica and Oceania,Australia,0.03
2011,Yorkshire and The Humber,E12000003,Total,5283733,1737,Antarctica and Oceania,Australia,0.03
2011,East Midlands,E12000004,Total,4533222,1528,Antarctica and Oceania,Australia,0.03
2011,West Midlands,E12000005,Total,5601847,1615,Antarctica and Oceania,Australia,0.03
2011,East,E12000006,Total,5846965,4377,Antarctica and Oceania,Australia,0.07
2011,London,E12000007,Total,8173941,40257,Antarctica and Oceania,Australia,0.49
2011,South East,E12000008,Total,8634750,9845,Antarctica and Oceania,Australia,0.11
2011,South West,E12000009,Total,5288935,3535,Antarctica and Oceania,Australia,0.07
2011,North East,E12000001,Total,2596886,251,Antarctica and Oceania,New Zealand,0.01
2011,North West,E12000002,Total,7052177,1023,Antarctica and Oceania,New Zealand,0.01
2011,Yorkshire and The Humber,E12000003,Total,5283733,828,Antarctica and Oceania,New Zealand,0.02
2011,East Midlands,E12000004,Total,4533222,754,Antarctica and Oceania,New Zealand,0.02
2011,West Midlands,E12000005,Total,5601847,788,Antarctica and Oceania,New Zealand,0.01
2011,East,E12000006,Total,5846965,2521,Antarctica and Oceania,New Zealand,0.04
2011,London,E12000007,Total,8173941,18622,Antarctica and Oceania,New Zealand,0.23
2011,South East,E12000008,Total,8634750,5019,Antarctica and Oceania,New Zealand,0.06
2011,South West,E12000009,Total,5288935,1814,Antarctica and Oceania,New Zealand,0.03
2011,North East,E12000001,Total,2596886,37,Antarctica and Oceania,Other Oceania,0
2011,North West,E12000002,Total,7052177,190,Antarctica and Oceania,Other Oceania,0
2011,Yorkshire and The Humber,E12000003,Total,5283733,415,Antarctica and Oceania,Other Oceania,0.01
2011,East Midlands,E12000004,Total,4533222,108,Antarctica and Oceania,Other Oceania,0
2011,West Midlands,E12000005,Total,5601847,319,Antarctica and Oceania,Other Oceania,0.01
2011,East,E12000006,Total,5846965,325,Antarctica and Oceania,Other Oceania,0.01
2011,London,E12000007,Total,8173941,366,Antarctica and Oceania,Other Oceania,0
2011,South East,E12000008,Total,8634750,848,Antarctica and Oceania,Other Oceania,0.01
2011,South West,E12000009,Total,5288935,878,Antarctica and Oceania,Other Oceania,0.02
2011,North East,E12000001,Total,2596886,56,British Overseas Territories,British Overseas Territories,0
2011,North West,E12000002,Total,7052177,114,British Overseas Territories,British Overseas Territories,0
2011,Yorkshire and The Humber,E12000003,Total,5283733,80,British Overseas Territories,British Overseas Territories,0
2011,East Midlands,E12000004,Total,4533222,110,British Overseas Territories,British Overseas Territories,0
2011,West Midlands,E12000005,Total,5601847,106,British Overseas Territories,British Overseas Territories,0
2011,East,E12000006,Total,5846965,66,British Overseas Territories,British Overseas Territories,0
2011,London,E12000007,Total,8173941,452,British Overseas Territories,British Overseas Territories,0.01
2011,South East,E12000008,Total,8634750,216,British Overseas Territories,British Overseas Territories,0
