date,geography,geography_code,Rural_Urban,total_pop,value,passports_region,passports,percs
2011,North East,E12000001,Total,304364,-3,Africa,Ghana,-0.01
2011,North West,E12000002,Total,817795,552,Africa,Ghana,-0.03
2011,Yorkshire and The Humber,E12000003,Total,570632,135,Africa,Ghana,-0.03
2011,East Midlands,E12000004,Total,714042,35,Africa,Ghana,-0.04
2011,West Midlands,E12000005,Total,623785,59,Africa,Ghana,-0.04
2011,East,E12000006,Total,562215,436,Africa,Ghana,0.04
2011,London,E12000007,Total,698138,18,Africa,Ghana,-0.06
2011,South East,E12000008,Total,958084,-365,Africa,Ghana,-0.06
2011,South West,E12000009,Total,789608,118,Africa,Ghana,-0.02
2011,North East,E12000001,Total,304364,-75,Africa,Nigeria,0.01
2011,North West,E12000002,Total,817795,667,Africa,Nigeria,-0.04
2011,Yorkshire and The Humber,E12000003,Total,570632,-108,Africa,Nigeria,0.01
2011,East Midlands,E12000004,Total,714042,820,Africa,Nigeria,0
2011,West Midlands,E12000005,Total,623785,147,Africa,Nigeria,-0.02
2011,East,E12000006,Total,562215,-8,Africa,Nigeria,-0.05
2011,London,E12000007,Total,698138,1230,Africa,Nigeria,-0.0600000000000001
2011,South East,E12000008,Total,958084,-892,Africa,Nigeria,-0.01
2011,South West,E12000009,Total,789608,-108,Africa,Nigeria,-0.04
2011,North East,E12000001,Total,304364,-80,Africa,Other Central and Western Africa,-0.02
2011,North West,E12000002,Total,817795,-159,Africa,Other Central and Western Africa,-0.04
2011,Yorkshire and The Humber,E12000003,Total,570632,82,Africa,Other Central and Western Africa,-0.04
2011,East Midlands,E12000004,Total,714042,31,Africa,Other Central and Western Africa,-0.03
2011,West Midlands,E12000005,Total,623785,613,Africa,Other Central and Western Africa,0.05
2011,East,E12000006,Total,562215,-56,Africa,Other Central and Western Africa,-0.03
2011,London,E12000007,Total,698138,-269,Africa,Other Central and Western Africa,-0.00999999999999998
2011,South East,E12000008,Total,958084,127,Africa,Other Central and Western Africa,-0.04
2011,South West,E12000009,Total,789608,-34,Africa,Other Central and Western Africa,-0.02
2011,North East,E12000001,Total,304364,-44,Africa,North Africa,0.04
2011,North West,E12000002,Total,817795,-133,Africa,North Africa,-0.05
2011,Yorkshire and The Humber,E12000003,Total,570632,-212,Africa,North Africa,0.03
2011,East Midlands,E12000004,Total,714042,40,Africa,North Africa,-0.05
2011,West Midlands,E12000005,Total,623785,45,Africa,North Africa,-0.04
2011,East,E12000006,Total,562215,-219,Africa,North Africa,-0.03
2011,London,E12000007,Total,698138,158,Africa,North Africa,0.04
2011,South East,E12000008,Total,958084,-134,Africa,North Africa,-0.04
2011,South West,E12000009,Total,789608,-43,Africa,North Africa,-0.03
2011,North East,E12000001,Total,304364,11,Africa,Kenya,-0.01
2011,North West,E12000002,Total,817795,123,Africa,Kenya,-0.01
2011,Yorkshire and The Humber,E12000003,Total,570632,241,Africa,Kenya,-0.02
2011,East Midlands,E12000004,Total,714042,-10,Africa,Kenya,-0.03
2011,West Midlands,E12000005,Total,623785,244,Africa,Kenya,-0.02
2011,East,E12000006,Total,562215,-75,Africa,Kenya,-0.03
2011,London,E12000007,Total,698138,777,Africa,Kenya,0.03
2011,South East,E12000008,Total,958084,806,Africa,Kenya,-0.03
2011,South West,E12000009,Total,789608,51,Africa,Kenya,-0.01
2011,North East,E12000001,Total,304364,2,Africa,Other South and Eastern Africa,-0.02
2011,North West,E12000002,Total,817795,227,Africa,Other South and Eastern Africa,-0.05
2011,Yorkshire and The Humber,E12000003,Total,570632,713,Africa,Other South and Eastern Africa,0.05
2011,East Midlands,E12000004,Total,714042,-138,Africa,Other South and Eastern Africa,0.03
2011,West Midlands,E12000005,Total,623785,702,Africa,Other South and Eastern Africa,0.04
2011,East,E12000006,Total,562215,833,Africa,Other South and Eastern Africa,0.03
2011,London,E12000007,Total,698138,2464,Africa,Other South and Eastern Africa,0.01
2011,South East,E12000008,Total,958084,511,Africa,Other South and Eastern Africa,0.02
2011,South West,E12000009,Total,789608,39,Africa,Other South and Eastern Africa,-0.03
2011,North East,E12000001,Total,304364,0,Africa,Somalia,0
2011,North West,E12000002,Total,817795,10,Africa,Somalia,0
2011,Yorkshire and The Humber,E12000003,Total,570632,29,Africa,Somalia,0
2011,East Midlands,E12000004,Total,714042,3,Africa,Somalia,0
2011,West Midlands,E12000005,Total,623785,-9,Africa,Somalia,0
2011,East,E12000006,Total,562215,0,Africa,Somalia,0
2011,London,E12000007,Total,698138,65,Africa,Somalia,-0.01
2011,South East,E12000008,Total,958084,1,Africa,Somalia,0
