date,geography,geography_code,Rural_Urban,total_pop,value,religion,percs
2011,Camden,E09000007,Total,220338,74821,Christian,34
2011,Camden,E09000007,Total,220338,2789,Buddhist,1.3
2011,Camden,E09000007,Total,220338,3141,Hindu,1.4
2011,Camden,E09000007,Total,220338,9823,Jewish,4.5
2011,Camden,E09000007,Total,220338,26643,Muslim,12.1
2011,Camden,E09000007,Total,220338,465,Sikh,0.2
2011,Camden,E09000007,Total,220338,1267,Other religion,0.6
2011,Camden,E09000007,Total,220338,56113,No religion,25.5
2011,Camden,E09000007,Total,220338,45276,Religion not stated,20.5
2011,City of London,E09000001,Total,7375,3344,Christian,45.3
2011,City of London,E09000001,Total,7375,92,Buddhist,1.2
2011,City of London,E09000001,Total,7375,145,Hindu,2
2011,City of London,E09000001,Total,7375,166,Jewish,2.3
2011,City of London,E09000001,Total,7375,409,Muslim,5.5
2011,City of London,E09000001,Total,7375,18,Sikh,0.2
2011,City of London,E09000001,Total,7375,28,Other religion,0.4
2011,City of London,E09000001,Total,7375,2522,No religion,34.2
2011,City of London,E09000001,Total,7375,651,Religion not stated,8.8
2011,Hackney,E09000012,Total,246270,95131,Christian,38.6
2011,Hackney,E09000012,Total,246270,3075,Buddhist,1.2
2011,Hackney,E09000012,Total,246270,1577,Hindu,0.6
2011,Hackney,E09000012,Total,246270,15477,Jewish,6.3
2011,Hackney,E09000012,Total,246270,34727,Muslim,14.1
2011,Hackney,E09000012,Total,246270,1872,Sikh,0.8
2011,Hackney,E09000012,Total,246270,1311,Other religion,0.5
2011,Hackney,E09000012,Total,246270,69454,No religion,28.2
2011,Hackney,E09000012,Total,246270,23646,Religion not stated,9.6
2011,Hammersmith and Fulham,E09000013,Total,182493,98808,Christian,54.1
2011,Hammersmith and Fulham,E09000013,Total,182493,2060,Buddhist,1.1
2011,Hammersmith and Fulham,E09000013,Total,182493,2097,Hindu,1.1
2011,Hammersmith and Fulham,E09000013,Total,182493,1161,Jewish,0.6
2011,Hammersmith and Fulham,E09000013,Total,182493,18242,Muslim,10
2011,Hammersmith and Fulham,E09000013,Total,182493,442,Sikh,0.2
2011,Hammersmith and Fulham,E09000013,Total,182493,857,Other religion,0.5
2011,Hammersmith and Fulham,E09000013,Total,182493,43487,No religion,23.8
2011,Hammersmith and Fulham,E09000013,Total,182493,15339,Religion not stated,8.4
