date,geography,geography_code,Rural_Urban,total_pop,value,religion,religion_det,percs
2011,Camden,E09000007,Total,222401,3200,Buddhist,Buddhist,1.4
2011,City of London,E09000001,Total,7134,103,Buddhist,Buddhist,1.4
2011,Hackney,E09000012,Total,267518,2978,Buddhist,Buddhist,1.1
2011,Hammersmith and Fulham,E09000013,Total,193648,2487,Buddhist,Buddhist,1.3
2011,Haringey,E09000014,Total,272720,3275,Buddhist,Buddhist,1.2
2011,Islington,E09000019,Total,221994,2332,Buddhist,Buddhist,1.1
2011,Kensington and Chelsea,E09000020,Total,167356,3120,Buddhist,Buddhist,1.9
2011,Lambeth,E09000022,Total,342003,3055,Buddhist,Buddhist,0.9
2011,Lewisham,E09000023,Total,308849,3708,Buddhist,Buddhist,1.2
2011,Newham,E09000025,Total,320638,2719,Buddhist,Buddhist,0.8
2011,Southwark,E09000028,Total,322070,3536,Buddhist,Buddhist,1.1
2011,Tower Hamlets,E09000030,Total,263811,2871,Buddhist,Buddhist,1.1
2011,Wandsworth,E09000032,Total,331245,2770,Buddhist,Buddhist,0.8
2011,Westminster,E09000033,Total,228809,3870,Buddhist,Buddhist,1.7
2011,Barking and Dagenham,E09000002,Total,200303,809,Buddhist,Buddhist,0.4
2011,Barnet,E09000003,Total,388290,4848,Buddhist,Buddhist,1.2
2011,Bexley,E09000004,Total,251016,1343,Buddhist,Buddhist,0.5
2011,Brent,E09000005,Total,333816,5036,Buddhist,Buddhist,1.5
2011,Bromley,E09000006,Total,327407,1764,Buddhist,Buddhist,0.5
2011,Croydon,E09000008,Total,410942,2121,Buddhist,Buddhist,0.5
2011,Ealing,E09000009,Total,387703,4229,Buddhist,Buddhist,1.1
2011,Enfield,E09000010,Total,291142,2191,Buddhist,Buddhist,0.8
2011,Greenwich,E09000011,Total,264605,4831,Buddhist,Buddhist,1.8
2011,Harrow,E09000015,Total,256371,2868,Buddhist,Buddhist,1.1
2011,Havering,E09000016,Total,247211,843,Buddhist,Buddhist,0.3
2011,Hillingdon,E09000017,Total,300106,2617,Buddhist,Buddhist,0.9
2011,Hounslow,E09000018,Total,276295,4170,Buddhist,Buddhist,1.5
2011,Kingston upon Thames,E09000021,Total,160715,2023,Buddhist,Buddhist,1.3
2011,Merton,E09000024,Total,202526,1800,Buddhist,Buddhist,0.9
2011,Redbridge,E09000026,Total,290343,2141,Buddhist,Buddhist,0.7
2011,Richmond upon Thames,E09000027,Total,183580,1651,Buddhist,Buddhist,0.9
2011,Sutton,E09000029,Total,215315,1641,Buddhist,Buddhist,0.8
2011,Waltham Forest,E09000031,Total,261936,2176,Buddhist,Buddhist,0.8
2011,Camden,E09000007,Total,222401,78558,Christian,Christian,35.3
2011,City of London,E09000001,Total,7134,3194,Christian,Christian,44.8
2011,Hackney,E09000012,Total,267518,100008,Christian,Christian,37.4
2011,Hammersmith and Fulham,E09000013,Total,193648,106923,Christian,Christian,55.2
2011,Haringey,E09000014,Total,272720,125734,Christian,Christian,46.1
2011,Islington,E09000019,Total,221994,92806,Christian,Christian,41.8
2011,Kensington and Chelsea,E09000020,Total,167356,92838,Christian,Christian,55.5
2011,Lambeth,E09000022,Total,342003,185038,Christian,Christian,54.1
2011,Lewisham,E09000023,Total,308849,173137,Christian,Christian,56.1
2011,Newham,E09000025,Total,320638,129054,Christian,Christian,40.2
2011,Southwark,E09000028,Total,322070,169591,Christian,Christian,52.7
2011,Tower Hamlets,E09000030,Total,263811,76425,Christian,Christian,29
2011,Wandsworth,E09000032,Total,331245,162463,Christian,Christian,49
2011,Westminster,E09000033,Total,228809,105576,Christian,Christian,46.1
2011,Barking and Dagenham,E09000002,Total,200303,109383,Christian,Christian,54.6
2011,Barnet,E09000003,Total,388290,174829,Christian,Christian,45
2011,Bexley,E09000004,Total,251016,152777,Christian,Christian,60.9
2011,Brent,E09000005,Total,333816,141840,Christian,Christian,42.5
2011,Bromley,E09000006,Total,327407,209149,Christian,Christian,63.9
2011,Croydon,E09000008,Total,410942,241849,Christian,Christian,58.9
2011,Ealing,E09000009,Total,387703,180914,Christian,Christian,46.7
2011,Enfield,E09000010,Total,291142,139325,Christian,Christian,47.9
2011,Greenwich,E09000011,Total,264605,141051,Christian,Christian,53.3
2011,Harrow,E09000015,Total,256371,94645,Christian,Christian,36.9
2011,Havering,E09000016,Total,247211,149897,Christian,Christian,60.6
2011,Hillingdon,E09000017,Total,300106,156174,Christian,Christian,52
2011,Hounslow,E09000018,Total,276295,120387,Christian,Christian,43.6
2011,Kingston upon Thames,E09000021,Total,160715,81043,Christian,Christian,50.4
2011,Merton,E09000024,Total,202526,110669,Christian,Christian,54.6
2011,Redbridge,E09000026,Total,290343,110832,Christian,Christian,38.2
2011,Richmond upon Thames,E09000027,Total,183580,98847,Christian,Christian,53.8
2011,Sutton,E09000029,Total,215315,123458,Christian,Christian,57.3
2011,Waltham Forest,E09000031,Total,261936,116766,Christian,Christian,44.6
2011,Camden,E09000007,Total,222401,3212,Hindu,Hindu,1.4
2011,City of London,E09000001,Total,7134,177,Hindu,Hindu,2.5
2011,Hackney,E09000012,Total,267518,2080,Hindu,Hindu,0.8
2011,Hammersmith and Fulham,E09000013,Total,193648,2384,Hindu,Hindu,1.2
2011,Haringey,E09000014,Total,272720,5261,Hindu,Hindu,1.9
2011,Islington,E09000019,Total,221994,2620,Hindu,Hindu,1.2
2011,Kensington and Chelsea,E09000020,Total,167356,1541,Hindu,Hindu,0.9
2011,Lambeth,E09000022,Total,342003,3080,Hindu,Hindu,0.9
2011,Lewisham,E09000023,Total,308849,6828,Hindu,Hindu,2.2
2011,Newham,E09000025,Total,320638,27334,Hindu,Hindu,8.5
2011,Southwark,E09000028,Total,322070,3547,Hindu,Hindu,1.1
2011,Tower Hamlets,E09000030,Total,263811,3764,Hindu,Hindu,1.4
2011,Wandsworth,E09000032,Total,331245,7024,Hindu,Hindu,2.1
2011,Westminster,E09000033,Total,228809,4321,Hindu,Hindu,1.9
2011,Barking and Dagenham,E09000002,Total,200303,4866,Hindu,Hindu,2.4
2011,Barnet,E09000003,Total,388290,20677,Hindu,Hindu,5.3
2011,Bexley,E09000004,Total,251016,4038,Hindu,Hindu,1.6
2011,Brent,E09000005,Total,333816,60847,Hindu,Hindu,18.2
2011,Bromley,E09000006,Total,327407,5078,Hindu,Hindu,1.6
