date,geography,geography_code,Rural_Urban,total_pop,value,religion,percs
2011,Camden,E09000007,Total,11671,4049,Christian,0
2011,Camden,E09000007,Total,11671,360,Buddhist,0.0999999999999999
2011,Camden,E09000007,Total,11671,33,Hindu,0
2011,Camden,E09000007,Total,11671,743,Jewish,0.0999999999999996
2011,Camden,E09000007,Total,11671,1369,Muslim,0
2011,Camden,E09000007,Total,11671,-33,Sikh,0
2011,Camden,E09000007,Total,11671,17,Other religion,0
2011,Camden,E09000007,Total,11671,-2294,No religion,-2.3
2011,Camden,E09000007,Total,11671,7427,Religion not stated,2.2
2011,City of London,E09000001,Total,308,-158,Christian,-3.8
2011,City of London,E09000001,Total,308,5,Buddhist,0.1
2011,City of London,E09000001,Total,308,-4,Hindu,-0.2
2011,City of London,E09000001,Total,308,13,Jewish,0
2011,City of London,E09000001,Total,308,9,Muslim,-0.0999999999999996
2011,City of London,E09000001,Total,308,5,Sikh,0.1
2011,City of London,E09000001,Total,308,1,Other religion,0
2011,City of London,E09000001,Total,308,366,No religion,3.4
2011,City of London,E09000001,Total,308,71,Religion not stated,0.6
2011,Hackney,E09000012,Total,10835,13119,Christian,3.5
2011,Hackney,E09000012,Total,10835,530,Buddhist,0.2
2011,Hackney,E09000012,Total,10835,34,Hindu,0
2011,Hackney,E09000012,Total,10835,-671,Jewish,-0.5
2011,Hackney,E09000012,Total,10835,4735,Muslim,1.2
2011,Hackney,E09000012,Total,10835,-42,Sikh,-0.1
2011,Hackney,E09000012,Total,10835,271,Other religion,0.1
2011,Hackney,E09000012,Total,10835,-2733,No religion,-2.2
2011,Hackney,E09000012,Total,10835,-4408,Religion not stated,-2.1
2011,Hammersmith and Fulham,E09000013,Total,4301,-3538,Christian,-3.1
2011,Hammersmith and Fulham,E09000013,Total,4301,38,Buddhist,0
2011,Hammersmith and Fulham,E09000013,Total,4301,545,Hindu,0.3
2011,Hammersmith and Fulham,E09000013,Total,4301,177,Jewish,0.1
2011,Hammersmith and Fulham,E09000013,Total,4301,4147,Muslim,2
2011,Hammersmith and Fulham,E09000013,Total,4301,-27,Sikh,0
2011,Hammersmith and Fulham,E09000013,Total,4301,156,Other religion,0
2011,Hammersmith and Fulham,E09000013,Total,4301,400,No religion,-0.300000000000001
2011,Hammersmith and Fulham,E09000013,Total,4301,2403,Religion not stated,1.1
2011,Haringey,E09000014,Total,3648,-14257,Christian,-6.2
2011,Haringey,E09000014,Total,3648,476,Buddhist,0.2
2011,Haringey,E09000014,Total,3648,181,Hindu,0
2011,Haringey,E09000014,Total,3648,393,Jewish,0.1
2011,Haringey,E09000014,Total,3648,7315,Muslim,2.6
2011,Haringey,E09000014,Total,3648,86,Sikh,0
2011,Haringey,E09000014,Total,3648,104,Other religion,0
2011,Haringey,E09000014,Total,3648,9781,No religion,3.4
2011,Haringey,E09000014,Total,3648,-431,Religion not stated,-0.200000000000001
2011,Islington,E09000019,Total,6914,-5234,Christian,-3.8
2011,Islington,E09000019,Total,6914,378,Buddhist,0.2
2011,Islington,E09000019,Total,6914,448,Hindu,0.2
2011,Islington,E09000019,Total,6914,230,Jewish,0.1
2011,Islington,E09000019,Total,6914,1351,Muslim,0.300000000000001
2011,Islington,E09000019,Total,6914,121,Sikh,0
2011,Islington,E09000019,Total,6914,82,Other religion,0
2011,Islington,E09000019,Total,6914,6745,No religion,2.2
2011,Islington,E09000019,Total,6914,2793,Religion not stated,0.699999999999999
2011,Kensington and Chelsea,E09000020,Total,12878,12492,Christian,3.2
2011,Kensington and Chelsea,E09000020,Total,12878,-115,Buddhist,-0.1
2011,Kensington and Chelsea,E09000020,Total,12878,33,Hindu,-0.1
2011,Kensington and Chelsea,E09000020,Total,12878,166,Jewish,-0.1
2011,Kensington and Chelsea,E09000020,Total,12878,-1455,Muslim,-1.6
2011,Kensington and Chelsea,E09000020,Total,12878,39,Sikh,0
2011,Kensington and Chelsea,E09000020,Total,12878,71,Other religion,0
2011,Kensington and Chelsea,E09000020,Total,12878,-31,No religion,-1.6
2011,Kensington and Chelsea,E09000020,Total,12878,1678,Religion not stated,0.200000000000001
2011,Lambeth,E09000022,Total,32545,14044,Christian,-1
2011,Lambeth,E09000022,Total,32545,-1,Buddhist,-0.1
2011,Lambeth,E09000022,Total,32545,238,Hindu,0
2011,Lambeth,E09000022,Total,32545,-7,Jewish,-0.1
