date,geography,geography_code,Rural_Urban,total_pop,value,religion,religion_det,percs
2011,Camden,E09000007,Total,2063,411,Buddhist,Buddhist,0.0999999999999999
2011,City of London,E09000001,Total,-241,11,Buddhist,Buddhist,0.2
2011,Hackney,E09000012,Total,21248,-97,Buddhist,Buddhist,-0.0999999999999999
2011,Hammersmith and Fulham,E09000013,Total,11155,427,Buddhist,Buddhist,0.2
2011,Haringey,E09000014,Total,17794,446,Buddhist,Buddhist,0.0999999999999999
2011,Islington,E09000019,Total,15869,215,Buddhist,Buddhist,0.1
2011,Kensington and Chelsea,E09000020,Total,8707,673,Buddhist,Buddhist,0.4
2011,Lambeth,E09000022,Total,38917,92,Buddhist,Buddhist,-0.1
2011,Lewisham,E09000023,Total,32964,44,Buddhist,Buddhist,-0.1
2011,Newham,E09000025,Total,12654,273,Buddhist,Buddhist,0
2011,Southwark,E09000028,Total,33787,-348,Buddhist,Buddhist,-0.2
2011,Tower Hamlets,E09000030,Total,9715,145,Buddhist,Buddhist,0
2011,Wandsworth,E09000032,Total,24250,196,Buddhist,Buddhist,0
2011,Westminster,E09000033,Total,9413,676,Buddhist,Buddhist,0.2
2011,Barking and Dagenham,E09000002,Total,14392,-33,Buddhist,Buddhist,-0.1
2011,Barnet,E09000003,Total,31904,327,Buddhist,Buddhist,-0.1
2011,Bexley,E09000004,Total,19019,-34,Buddhist,Buddhist,-0.1
2011,Brent,E09000005,Total,22601,736,Buddhist,Buddhist,0.1
2011,Bromley,E09000006,Total,18015,184,Buddhist,Buddhist,0
2011,Croydon,E09000008,Total,47564,-260,Buddhist,Buddhist,-0.2
2011,Ealing,E09000009,Total,49254,1,Buddhist,Buddhist,-0.0999999999999999
2011,Enfield,E09000010,Total,-21324,367,Buddhist,Buddhist,0.2
2011,Greenwich,E09000011,Total,10048,608,Buddhist,Buddhist,0.1
2011,Harrow,E09000015,Total,17315,168,Buddhist,Buddhist,0
2011,Havering,E09000016,Total,9979,83,Buddhist,Buddhist,0
2011,Hillingdon,E09000017,Total,26170,231,Buddhist,Buddhist,0
2011,Hounslow,E09000018,Total,22338,553,Buddhist,Buddhist,0.1
2011,Kingston upon Thames,E09000021,Total,655,252,Buddhist,Buddhist,0.2
2011,Merton,E09000024,Total,2833,-84,Buddhist,Buddhist,0
2011,Redbridge,E09000026,Total,11373,301,Buddhist,Buddhist,0
2011,Richmond upon Thames,E09000027,Total,-3410,74,Buddhist,Buddhist,0.1
2011,Sutton,E09000029,Total,25169,273,Buddhist,Buddhist,0.1
2011,Waltham Forest,E09000031,Total,3687,189,Buddhist,Buddhist,0
2011,Camden,E09000007,Total,2063,3737,Christian,Christian,1.3
2011,City of London,E09000001,Total,-241,-150,Christian,Christian,-0.5
2011,Hackney,E09000012,Total,21248,4877,Christian,Christian,-1.2
2011,Hammersmith and Fulham,E09000013,Total,11155,8115,Christian,Christian,1.1
2011,Haringey,E09000014,Total,17794,11075,Christian,Christian,1.1
2011,Islington,E09000019,Total,15869,9927,Christian,Christian,1.59999999999999
2011,Kensington and Chelsea,E09000020,Total,8707,6833,Christian,Christian,1.3
2011,Lambeth,E09000022,Total,38917,24094,Christian,Christian,1
2011,Lewisham,E09000023,Total,32964,27549,Christian,Christian,3.3
2011,Newham,E09000025,Total,12654,5935,Christian,Christian,0.200000000000003
2011,Southwark,E09000028,Total,33787,18129,Christian,Christian,0.200000000000003
2011,Tower Hamlets,E09000030,Total,9715,7617,Christian,Christian,1.9
2011,Wandsworth,E09000032,Total,24250,-127,Christian,Christian,-4
2011,Westminster,E09000033,Total,9413,7699,Christian,Christian,1.5
2011,Barking and Dagenham,E09000002,Total,14392,5282,Christian,Christian,-1.4
2011,Barnet,E09000003,Total,31904,27963,Christian,Christian,3.8
2011,Bexley,E09000004,Total,19019,8684,Christian,Christian,-1.2
2011,Brent,E09000005,Total,22601,12760,Christian,Christian,1
2011,Bromley,E09000006,Total,18015,21493,Christian,Christian,3.2
2011,Croydon,E09000008,Total,47564,36827,Christian,Christian,2.5
2011,Ealing,E09000009,Total,49254,32859,Christian,Christian,3
2011,Enfield,E09000010,Total,-21324,-28092,Christian,Christian,-5.7
2011,Greenwich,E09000011,Total,10048,6419,Christian,Christian,0.399999999999999
2011,Harrow,E09000015,Total,17315,5464,Christian,Christian,-0.399999999999999
2011,Havering,E09000016,Total,9979,-5700,Christian,Christian,-4.99999999999999
2011,Hillingdon,E09000017,Total,26170,21361,Christian,Christian,2.8
2011,Hounslow,E09000018,Total,22338,13727,Christian,Christian,1.6
2011,Kingston upon Thames,E09000021,Total,655,-3641,Christian,Christian,-2.5
2011,Merton,E09000024,Total,2833,-1324,Christian,Christian,-1.5
2011,Redbridge,E09000026,Total,11373,8077,Christian,Christian,1.40000000000001
2011,Richmond upon Thames,E09000027,Total,-3410,-4472,Christian,Christian,-1.5
2011,Sutton,E09000029,Total,25169,12372,Christian,Christian,-1.1
2011,Waltham Forest,E09000031,Total,3687,-8173,Christian,Christian,-3.8
2011,Camden,E09000007,Total,2063,71,Hindu,Hindu,0
2011,City of London,E09000001,Total,-241,32,Hindu,Hindu,0.5
2011,Hackney,E09000012,Total,21248,503,Hindu,Hindu,0.2
2011,Hammersmith and Fulham,E09000013,Total,11155,287,Hindu,Hindu,0.0999999999999999
2011,Haringey,E09000014,Total,17794,722,Hindu,Hindu,0.0999999999999999
2011,Islington,E09000019,Total,15869,512,Hindu,Hindu,0.2
2011,Kensington and Chelsea,E09000020,Total,8707,155,Hindu,Hindu,0
2011,Lambeth,E09000022,Total,38917,-39,Hindu,Hindu,-0.1
2011,Lewisham,E09000023,Total,32964,266,Hindu,Hindu,-0.2
2011,Newham,E09000025,Total,12654,372,Hindu,Hindu,-0.300000000000001
2011,Southwark,E09000028,Total,33787,-121,Hindu,Hindu,-0.2
2011,Tower Hamlets,E09000030,Total,9715,-436,Hindu,Hindu,-0.3
2011,Wandsworth,E09000032,Total,24250,528,Hindu,Hindu,0
2011,Westminster,E09000033,Total,9413,143,Hindu,Hindu,0
2011,Barking and Dagenham,E09000002,Total,14392,402,Hindu,Hindu,0
2011,Barnet,E09000003,Total,31904,-1247,Hindu,Hindu,-0.9
2011,Bexley,E09000004,Total,19019,491,Hindu,Hindu,0.1
2011,Brent,E09000005,Total,22601,5398,Hindu,Hindu,0.399999999999999
2011,Bromley,E09000006,Total,18015,91,Hindu,Hindu,0
2011,Croydon,E09000008,Total,47564,1372,Hindu,Hindu,-0.4
2011,Ealing,E09000009,Total,49254,1193,Hindu,Hindu,-0.7
2011,Enfield,E09000010,Total,-21324,1054,Hindu,Hindu,0.6
2011,Greenwich,E09000011,Total,10048,-431,Hindu,Hindu,-0.3
2011,Harrow,E09000015,Total,17315,7096,Hindu,Hindu,1
2011,Havering,E09000016,Total,9979,-89,Hindu,Hindu,0
2011,Hillingdon,E09000017,Total,26170,3543,Hindu,Hindu,0.5
2011,Hounslow,E09000018,Total,22338,5071,Hindu,Hindu,1
2011,Kingston upon Thames,E09000021,Total,655,236,Hindu,Hindu,0.0999999999999996
2011,Merton,E09000024,Total,2833,1922,Hindu,Hindu,0.9
2011,Redbridge,E09000026,Total,11373,2332,Hindu,Hindu,0.299999999999999
2011,Richmond upon Thames,E09000027,Total,-3410,-422,Hindu,Hindu,-0.2
2011,Sutton,E09000029,Total,25169,777,Hindu,Hindu,-0.100000000000001
2011,Waltham Forest,E09000031,Total,3687,-129,Hindu,Hindu,-0.0999999999999996
2011,Camden,E09000007,Total,2063,-369,Jewish,Jewish,-0.2
2011,City of London,E09000001,Total,-241,34,Jewish,Jewish,0.5
2011,Hackney,E09000012,Total,21248,780,Jewish,Jewish,-0.2
2011,Hammersmith and Fulham,E09000013,Total,11155,286,Jewish,Jewish,0.1
2011,Haringey,E09000014,Total,17794,160,Jewish,Jewish,-0.1
2011,Islington,E09000019,Total,15869,97,Jewish,Jewish,0
2011,Kensington and Chelsea,E09000020,Total,8707,213,Jewish,Jewish,0
2011,Lambeth,E09000022,Total,38917,26,Jewish,Jewish,-0.1
2011,Lewisham,E09000023,Total,32964,9,Jewish,Jewish,0
2011,Newham,E09000025,Total,12654,39,Jewish,Jewish,0
2011,Southwark,E09000028,Total,33787,-34,Jewish,Jewish,0
2011,Tower Hamlets,E09000030,Total,9715,217,Jewish,Jewish,0.1
2011,Wandsworth,E09000032,Total,24250,-205,Jewish,Jewish,-0.1
2011,Westminster,E09000033,Total,9413,-398,Jewish,Jewish,-0.3
2011,Barking and Dagenham,E09000002,Total,14392,-9,Jewish,Jewish,0
2011,Barnet,E09000003,Total,31904,2383,Jewish,Jewish,-0.699999999999999
2011,Bexley,E09000004,Total,19019,23,Jewish,Jewish,0
2011,Brent,E09000005,Total,22601,-447,Jewish,Jewish,-0.2
2011,Bromley,E09000006,Total,18015,49,Jewish,Jewish,0
2011,Croydon,E09000008,Total,47564,18,Jewish,Jewish,0
2011,Ealing,E09000009,Total,49254,226,Jewish,Jewish,0.1
2011,Enfield,E09000010,Total,-21324,787,Jewish,Jewish,0.4
2011,Greenwich,E09000011,Total,10048,52,Jewish,Jewish,0
2011,Harrow,E09000015,Total,17315,-235,Jewish,Jewish,-0.4
2011,Havering,E09000016,Total,9979,-33,Jewish,Jewish,0
2011,Hillingdon,E09000017,Total,26170,13,Jewish,Jewish,0
2011,Hounslow,E09000018,Total,22338,112,Jewish,Jewish,0
2011,Kingston upon Thames,E09000021,Total,655,150,Jewish,Jewish,0.1
2011,Merton,E09000024,Total,2833,67,Jewish,Jewish,0
2011,Redbridge,E09000026,Total,11373,-429,Jewish,Jewish,-0.3
2011,Richmond upon Thames,E09000027,Total,-3410,160,Jewish,Jewish,0.1
2011,Sutton,E09000029,Total,25169,4,Jewish,Jewish,-0.1
2011,Waltham Forest,E09000031,Total,3687,76,Jewish,Jewish,0
2011,Camden,E09000007,Total,2063,198,Muslim,Muslim,0
2011,City of London,E09000001,Total,-241,28,Muslim,Muslim,0.6
2011,Hackney,E09000012,Total,21248,3507,Muslim,Muslim,0.200000000000001
2011,Hammersmith and Fulham,E09000013,Total,11155,1089,Muslim,Muslim,0
2011,Haringey,E09000014,Total,17794,1171,Muslim,Muslim,-0.5
2011,Islington,E09000019,Total,15869,1144,Muslim,Muslim,-0.199999999999999
2011,Kensington and Chelsea,E09000020,Total,8707,-897,Muslim,Muslim,-1.1
2011,Lambeth,E09000022,Total,38917,143,Muslim,Muslim,-0.8
2011,Lewisham,E09000023,Total,32964,302,Muslim,Muslim,-0.600000000000001
2011,Newham,E09000025,Total,12654,8441,Muslim,Muslim,1.3
2011,Southwark,E09000028,Total,33787,-2493,Muslim,Muslim,-1.7
2011,Tower Hamlets,E09000030,Total,9715,-3231,Muslim,Muslim,-2.5
2011,Wandsworth,E09000032,Total,24250,1839,Muslim,Muslim,-0.0999999999999996
2011,Westminster,E09000033,Total,9413,1156,Muslim,Muslim,-0.300000000000001
2011,Barking and Dagenham,E09000002,Total,14392,3021,Muslim,Muslim,0.5
2011,Barnet,E09000003,Total,31904,1082,Muslim,Muslim,-0.600000000000001
2011,Bexley,E09000004,Total,19019,356,Muslim,Muslim,0
2011,Brent,E09000005,Total,22601,4821,Muslim,Muslim,0.199999999999999
2011,Bromley,E09000006,Total,18015,-246,Muslim,Muslim,-0.2
2011,Croydon,E09000008,Total,47564,692,Muslim,Muslim,-0.699999999999999
2011,Ealing,E09000009,Total,49254,2414,Muslim,Muslim,-1.4
2011,Enfield,E09000010,Total,-21324,-2517,Muslim,Muslim,0.300000000000001
2011,Greenwich,E09000011,Total,10048,972,Muslim,Muslim,0.100000000000001
2011,Harrow,E09000015,Total,17315,1029,Muslim,Muslim,-0.4
2011,Havering,E09000016,Total,9979,448,Muslim,Muslim,0.1
2011,Hillingdon,E09000017,Total,26170,403,Muslim,Muslim,-0.799999999999999
2011,Hounslow,E09000018,Total,22338,1173,Muslim,Muslim,-0.699999999999999
2011,Kingston upon Thames,E09000021,Total,655,447,Muslim,Muslim,0.3
2011,Merton,E09000024,Total,2833,1176,Muslim,Muslim,0.5
2011,Redbridge,E09000026,Total,11373,3218,Muslim,Muslim,0.199999999999999
2011,Richmond upon Thames,E09000027,Total,-3410,-214,Muslim,Muslim,-0.0999999999999996
2011,Sutton,E09000029,Total,25169,554,Muslim,Muslim,-0.3
2011,Waltham Forest,E09000031,Total,3687,2226,Muslim,Muslim,0.5
2011,Camden,E09000007,Total,2063,23,No religion,No religion: Agnostic,0
2011,City of London,E09000001,Total,-241,0,No religion,No religion: Agnostic,0
2011,Hackney,E09000012,Total,21248,30,No religion,No religion: Agnostic,0
2011,Hammersmith and Fulham,E09000013,Total,11155,43,No religion,No religion: Agnostic,0
2011,Haringey,E09000014,Total,17794,17,No religion,No religion: Agnostic,0
2011,Islington,E09000019,Total,15869,49,No religion,No religion: Agnostic,0
2011,Kensington and Chelsea,E09000020,Total,8707,8,No religion,No religion: Agnostic,0
2011,Lambeth,E09000022,Total,38917,13,No religion,No religion: Agnostic,0
2011,Lewisham,E09000023,Total,32964,-23,No religion,No religion: Agnostic,0
2011,Newham,E09000025,Total,12654,-6,No religion,No religion: Agnostic,0
2011,Southwark,E09000028,Total,33787,68,No religion,No religion: Agnostic,0
2011,Tower Hamlets,E09000030,Total,9715,67,No religion,No religion: Agnostic,0
2011,Wandsworth,E09000032,Total,24250,11,No religion,No religion: Agnostic,0
2011,Westminster,E09000033,Total,9413,8,No religion,No religion: Agnostic,0
2011,Barking and Dagenham,E09000002,Total,14392,-3,No religion,No religion: Agnostic,0
2011,Barnet,E09000003,Total,31904,32,No religion,No religion: Agnostic,0
2011,Bexley,E09000004,Total,19019,7,No religion,No religion: Agnostic,0
2011,Brent,E09000005,Total,22601,5,No religion,No religion: Agnostic,0
2011,Bromley,E09000006,Total,18015,-12,No religion,No religion: Agnostic,0
2011,Croydon,E09000008,Total,47564,28,No religion,No religion: Agnostic,0
2011,Ealing,E09000009,Total,49254,18,No religion,No religion: Agnostic,0
2011,Enfield,E09000010,Total,-21324,17,No religion,No religion: Agnostic,0.1
2011,Greenwich,E09000011,Total,10048,11,No religion,No religion: Agnostic,0
2011,Harrow,E09000015,Total,17315,12,No religion,No religion: Agnostic,0
2011,Havering,E09000016,Total,9979,5,No religion,No religion: Agnostic,0
2011,Hillingdon,E09000017,Total,26170,11,No religion,No religion: Agnostic,0
2011,Hounslow,E09000018,Total,22338,13,No religion,No religion: Agnostic,0
2011,Kingston upon Thames,E09000021,Total,655,2,No religion,No religion: Agnostic,0
2011,Merton,E09000024,Total,2833,2,No religion,No religion: Agnostic,0
2011,Redbridge,E09000026,Total,11373,-12,No religion,No religion: Agnostic,0
2011,Richmond upon Thames,E09000027,Total,-3410,37,No religion,No religion: Agnostic,0
2011,Sutton,E09000029,Total,25169,-4,No religion,No religion: Agnostic,-0.1
2011,Waltham Forest,E09000031,Total,3687,-7,No religion,No religion: Agnostic,0
2011,Camden,E09000007,Total,2063,11,No religion,No religion: Atheist,0
2011,City of London,E09000001,Total,-241,0,No religion,No religion: Atheist,0
2011,Hackney,E09000012,Total,21248,57,No religion,No religion: Atheist,0.1
2011,Hammersmith and Fulham,E09000013,Total,11155,11,No religion,No religion: Atheist,0
2011,Haringey,E09000014,Total,17794,41,No religion,No religion: Atheist,0
2011,Islington,E09000019,Total,15869,3,No religion,No religion: Atheist,0
2011,Kensington and Chelsea,E09000020,Total,8707,-10,No religion,No religion: Atheist,0
2011,Lambeth,E09000022,Total,38917,55,No religion,No religion: Atheist,0
