date,geography,geography_code,Rural_Urban,total_pop,value,religion,religion_det,percs
2011,London,E12000007,Total,960364,-3876,Buddhist,Buddhist,-0.1
2011,London,E12000007,Total,960364,292984,Christian,Christian,-1.9
2011,London,E12000007,Total,960364,92519,Hindu,Hindu,0.5
2011,London,E12000007,Total,960364,-6187,Jewish,Jewish,-0.2
2011,London,E12000007,Total,960364,119301,Muslim,Muslim,0
2011,London,E12000007,Total,960364,-30,No religion,No religion: Agnostic,0
2011,London,E12000007,Total,960364,-219,No religion,No religion: Atheist,0
2011,London,E12000007,Total,960364,6,No religion,No religion: Free Thinker,0
2011,London,E12000007,Total,960364,421733,No religion,No religion: No religion,2.4
2011,London,E12000007,Total,960364,102,No religion,No religion: Humanist,0
2011,London,E12000007,Total,960364,-4,No religion,No religion: Realist,0
2011,London,E12000007,Total,960364,-2,Other religion,Other religion: Animism,0
2011,London,E12000007,Total,960364,-7,Other religion,Other religion: Baha'i,0
2011,London,E12000007,Total,960364,30,Other religion,Other religion: Believe in God,0
2011,London,E12000007,Total,960364,3,Other religion,Other religion: Brahma Kumari,0
2011,London,E12000007,Total,960364,2,Other religion,Other religion: Chinese Religion,0
2011,London,E12000007,Total,960364,19,Other religion,Other religion: Church of All Religion,0
2011,London,E12000007,Total,960364,6,Other religion,Other religion: Confucianist,0
2011,London,E12000007,Total,960364,3,Other religion,Other religion: Deist,0
2011,London,E12000007,Total,960364,36,Other religion,Other religion: Druid,0
2011,London,E12000007,Total,960364,75,Other religion,Other religion: Druze,0
2011,London,E12000007,Total,960364,16,Other religion,Other religion: Eckankar,0
2011,London,E12000007,Total,960364,15,Other religion,Other religion: Heathen,0
2011,London,E12000007,Total,960364,3006,Other religion,Other religion: Jain,0
2011,London,E12000007,Total,960364,63,Other religion,Other religion: Mixed Religion,0
2011,London,E12000007,Total,960364,1,Other religion,Other religion: Mysticism,0
2011,London,E12000007,Total,960364,1,Other religion,Other religion: Native American Church,0
2011,London,E12000007,Total,960364,-4,Other religion,Other religion: New Age,0
2011,London,E12000007,Total,960364,4,Other religion,Other religion: Occult,0
2011,London,E12000007,Total,960364,757,Other religion,Other religion: Other religions,0
2011,London,E12000007,Total,960364,100,Other religion,Other religion: Own Belief System,0
2011,London,E12000007,Total,960364,407,Other religion,Other religion: Pagan,0
2011,London,E12000007,Total,960364,29,Other religion,Other religion: Pantheism,0
2011,London,E12000007,Total,960364,-322,Other religion,Other religion: Rastafarian,0
2011,London,E12000007,Total,960364,218,Other religion,Other religion: Ravidassia,0
2011,London,E12000007,Total,960364,-2,Other religion,Other religion: Reconstructionist,0
2011,London,E12000007,Total,960364,14,Other religion,Other religion: Satanism,0
2011,London,E12000007,Total,960364,36,Other religion,Other religion: Scientology,0
