date,geography,geography_code,Rural_Urban,total_pop,value,religion,religion_det,percs
2011,North East,E12000001,Total,2596886,6316,Buddhist,Buddhist,0.2
2011,North West,E12000002,Total,7052177,20695,Buddhist,Buddhist,0.3
2011,Yorkshire and The Humber,E12000003,Total,5283733,14319,Buddhist,Buddhist,0.3
2011,East Midlands,E12000004,Total,4533222,12672,Buddhist,Buddhist,0.3
2011,West Midlands,E12000005,Total,5601847,16649,Buddhist,Buddhist,0.3
2011,East,E12000006,Total,5846965,22273,Buddhist,Buddhist,0.4
2011,London,E12000007,Total,8173941,82026,Buddhist,Buddhist,1
2011,South East,E12000008,Total,8634750,43946,Buddhist,Buddhist,0.5
2011,South West,E12000009,Total,5288935,19730,Buddhist,Buddhist,0.4
2011,North East,E12000001,Total,2596886,1753334,Christian,Christian,67.5
2011,North West,E12000002,Total,7052177,4742860,Christian,Christian,67.3
2011,Yorkshire and The Humber,E12000003,Total,5283733,3143819,Christian,Christian,59.5
2011,East Midlands,E12000004,Total,4533222,2666172,Christian,Christian,58.8
2011,West Midlands,E12000005,Total,5601847,3373450,Christian,Christian,60.2
2011,East,E12000006,Total,5846965,3488063,Christian,Christian,59.7
2011,London,E12000007,Total,8173941,3957984,Christian,Christian,48.4
2011,South East,E12000008,Total,8634750,5160128,Christian,Christian,59.8
2011,South West,E12000009,Total,5288935,3194066,Christian,Christian,60.4
2011,North East,E12000001,Total,2596886,7772,Hindu,Hindu,0.3
2011,North West,E12000002,Total,7052177,38259,Hindu,Hindu,0.5
2011,Yorkshire and The Humber,E12000003,Total,5283733,24074,Hindu,Hindu,0.5
2011,East Midlands,E12000004,Total,4533222,89723,Hindu,Hindu,2
2011,West Midlands,E12000005,Total,5601847,72247,Hindu,Hindu,1.3
2011,East,E12000006,Total,5846965,54010,Hindu,Hindu,0.9
2011,London,E12000007,Total,8173941,411291,Hindu,Hindu,5
2011,South East,E12000008,Total,8634750,92499,Hindu,Hindu,1.1
2011,South West,E12000009,Total,5288935,16324,Hindu,Hindu,0.3
2011,North East,E12000001,Total,2596886,4503,Jewish,Jewish,0.2
2011,North West,E12000002,Total,7052177,30417,Jewish,Jewish,0.4
2011,Yorkshire and The Humber,E12000003,Total,5283733,9929,Jewish,Jewish,0.2
2011,East Midlands,E12000004,Total,4533222,4254,Jewish,Jewish,0.1
2011,West Midlands,E12000005,Total,5601847,4621,Jewish,Jewish,0.1
2011,East,E12000006,Total,5846965,34830,Jewish,Jewish,0.6
2011,London,E12000007,Total,8173941,148602,Jewish,Jewish,1.8
2011,South East,E12000008,Total,8634750,17761,Jewish,Jewish,0.2
2011,South West,E12000009,Total,5288935,6365,Jewish,Jewish,0.1
2011,North East,E12000001,Total,2596886,46764,Muslim,Muslim,1.8
2011,North West,E12000002,Total,7052177,356458,Muslim,Muslim,5.1
2011,Yorkshire and The Humber,E12000003,Total,5283733,326050,Muslim,Muslim,6.2
2011,East Midlands,E12000004,Total,4533222,140649,Muslim,Muslim,3.1
2011,West Midlands,E12000005,Total,5601847,376152,Muslim,Muslim,6.7
2011,East,E12000006,Total,5846965,148341,Muslim,Muslim,2.5
2011,London,E12000007,Total,8173941,1012823,Muslim,Muslim,12.4
2011,South East,E12000008,Total,8634750,201651,Muslim,Muslim,2.3
2011,South West,E12000009,Total,5288935,51228,Muslim,Muslim,1
2011,North East,E12000001,Total,2596886,1094,No religion,No religion: Agnostic,0
2011,North West,E12000002,Total,7052177,3066,No religion,No religion: Agnostic,0
2011,Yorkshire and The Humber,E12000003,Total,5283733,2567,No religion,No religion: Agnostic,0
2011,East Midlands,E12000004,Total,4533222,2325,No religion,No religion: Agnostic,0.1
2011,West Midlands,E12000005,Total,5601847,2518,No religion,No religion: Agnostic,0
2011,East,E12000006,Total,5846965,3443,No religion,No religion: Agnostic,0.1
2011,London,E12000007,Total,8173941,5678,No religion,No religion: Agnostic,0.1
2011,South East,E12000008,Total,8634750,5951,No religion,No religion: Agnostic,0.1
2011,South West,E12000009,Total,5288935,3930,No religion,No religion: Agnostic,0.1
2011,North East,E12000001,Total,2596886,1043,No religion,No religion: Atheist,0
2011,North West,E12000002,Total,7052177,3096,No religion,No religion: Atheist,0
2011,Yorkshire and The Humber,E12000003,Total,5283733,2584,No religion,No religion: Atheist,0
2011,East Midlands,E12000004,Total,4533222,2093,No religion,No religion: Atheist,0
2011,West Midlands,E12000005,Total,5601847,2195,No religion,No religion: Atheist,0
2011,East,E12000006,Total,5846965,2918,No religion,No religion: Atheist,0
2011,London,E12000007,Total,8173941,5439,No religion,No religion: Atheist,0.1
2011,South East,E12000008,Total,8634750,5290,No religion,No religion: Atheist,0.1
2011,South West,E12000009,Total,5288935,3103,No religion,No religion: Atheist,0.1
2011,North East,E12000001,Total,2596886,20,No religion,No religion: Free Thinker,0
2011,North West,E12000002,Total,7052177,61,No religion,No religion: Free Thinker,0
2011,Yorkshire and The Humber,E12000003,Total,5283733,36,No religion,No religion: Free Thinker,0
2011,East Midlands,E12000004,Total,4533222,33,No religion,No religion: Free Thinker,0
2011,West Midlands,E12000005,Total,5601847,38,No religion,No religion: Free Thinker,0
2011,East,E12000006,Total,5846965,66,No religion,No religion: Free Thinker,0
2011,London,E12000007,Total,8173941,77,No religion,No religion: Free Thinker,0
2011,South East,E12000008,Total,8634750,100,No religion,No religion: Free Thinker,0
2011,South West,E12000009,Total,5288935,59,No religion,No religion: Free Thinker,0
2011,North East,E12000001,Total,2596886,604927,No religion,No religion: No religion,23.3
2011,North West,E12000002,Total,7052177,1390237,No religion,No religion: No religion,19.7
2011,Yorkshire and The Humber,E12000003,Total,5283733,1359806,No religion,No religion: No religion,25.7
2011,East Midlands,E12000004,Total,4533222,1242593,No religion,No religion: No religion,27.4
2011,West Midlands,E12000005,Total,5601847,1224912,No religion,No religion: No religion,21.9
2011,East,E12000006,Total,5846965,1623414,No religion,No religion: No religion,27.8
2011,London,E12000007,Total,8173941,1680908,No religion,No religion: No religion,20.6
2011,South East,E12000008,Total,8634750,2373914,No religion,No religion: No religion,27.5
2011,South West,E12000009,Total,5288935,1540126,No religion,No religion: No religion,29.1
2011,North East,E12000001,Total,2596886,612,No religion,No religion: Humanist,0
2011,North West,E12000002,Total,7052177,1427,No religion,No religion: Humanist,0
2011,Yorkshire and The Humber,E12000003,Total,5283733,1188,No religion,No religion: Humanist,0
2011,East Midlands,E12000004,Total,4533222,990,No religion,No religion: Humanist,0
2011,West Midlands,E12000005,Total,5601847,1221,No religion,No religion: Humanist,0
2011,East,E12000006,Total,5846965,1681,No religion,No religion: Humanist,0
2011,London,E12000007,Total,8173941,2235,No religion,No religion: Humanist,0
2011,South East,E12000008,Total,8634750,2964,No religion,No religion: Humanist,0
2011,South West,E12000009,Total,5288935,1934,No religion,No religion: Humanist,0
2011,North East,E12000001,Total,2596886,4,No religion,No religion: Realist,0
2011,North West,E12000002,Total,7052177,29,No religion,No religion: Realist,0
2011,Yorkshire and The Humber,E12000003,Total,5283733,38,No religion,No religion: Realist,0
2011,East Midlands,E12000004,Total,4533222,22,No religion,No religion: Realist,0
2011,West Midlands,E12000005,Total,5601847,26,No religion,No religion: Realist,0
2011,East,E12000006,Total,5846965,50,No religion,No religion: Realist,0
2011,London,E12000007,Total,8173941,35,No religion,No religion: Realist,0
2011,South East,E12000008,Total,8634750,67,No religion,No religion: Realist,0
2011,South West,E12000009,Total,5288935,49,No religion,No religion: Realist,0
2011,North East,E12000001,Total,2596886,19,Other religion,Other religion: Animism,0
2011,North West,E12000002,Total,7052177,31,Other religion,Other religion: Animism,0
2011,Yorkshire and The Humber,E12000003,Total,5283733,29,Other religion,Other religion: Animism,0
2011,East Midlands,E12000004,Total,4533222,22,Other religion,Other religion: Animism,0
2011,West Midlands,E12000005,Total,5601847,30,Other religion,Other religion: Animism,0
2011,East,E12000006,Total,5846965,36,Other religion,Other religion: Animism,0
2011,London,E12000007,Total,8173941,92,Other religion,Other religion: Animism,0
2011,South East,E12000008,Total,8634750,120,Other religion,Other religion: Animism,0
2011,South West,E12000009,Total,5288935,108,Other religion,Other religion: Animism,0
2011,North East,E12000001,Total,2596886,131,Other religion,Other religion: Baha'i,0
2011,North West,E12000002,Total,7052177,410,Other religion,Other religion: Baha'i,0
2011,Yorkshire and The Humber,E12000003,Total,5283733,270,Other religion,Other religion: Baha'i,0
2011,East Midlands,E12000004,Total,4533222,311,Other religion,Other religion: Baha'i,0
2011,West Midlands,E12000005,Total,5601847,383,Other religion,Other religion: Baha'i,0
2011,East,E12000006,Total,5846965,541,Other religion,Other religion: Baha'i,0
2011,London,E12000007,Total,8173941,1229,Other religion,Other religion: Baha'i,0
2011,South East,E12000008,Total,8634750,996,Other religion,Other religion: Baha'i,0
2011,South West,E12000009,Total,5288935,475,Other religion,Other religion: Baha'i,0
2011,North East,E12000001,Total,2596886,73,Other religion,Other religion: Believe in God,0
2011,North West,E12000002,Total,7052177,247,Other religion,Other religion: Believe in God,0
2011,Yorkshire and The Humber,E12000003,Total,5283733,188,Other religion,Other religion: Believe in God,0
2011,East Midlands,E12000004,Total,4533222,162,Other religion,Other religion: Believe in God,0
2011,West Midlands,E12000005,Total,5601847,251,Other religion,Other religion: Believe in God,0
2011,East,E12000006,Total,5846965,217,Other religion,Other religion: Believe in God,0
2011,London,E12000007,Total,8173941,966,Other religion,Other religion: Believe in God,0
2011,South East,E12000008,Total,8634750,385,Other religion,Other religion: Believe in God,0
2011,South West,E12000009,Total,5288935,338,Other religion,Other religion: Believe in God,0
2011,North East,E12000001,Total,2596886,2,Other religion,Other religion: Brahma Kumari,0
2011,North West,E12000002,Total,7052177,12,Other religion,Other religion: Brahma Kumari,0
2011,Yorkshire and The Humber,E12000003,Total,5283733,21,Other religion,Other religion: Brahma Kumari,0
2011,East Midlands,E12000004,Total,4533222,48,Other religion,Other religion: Brahma Kumari,0
2011,West Midlands,E12000005,Total,5601847,26,Other religion,Other religion: Brahma Kumari,0
2011,East,E12000006,Total,5846965,39,Other religion,Other religion: Brahma Kumari,0
2011,London,E12000007,Total,8173941,194,Other religion,Other religion: Brahma Kumari,0
2011,South East,E12000008,Total,8634750,88,Other religion,Other religion: Brahma Kumari,0
2011,South West,E12000009,Total,5288935,4,Other religion,Other religion: Brahma Kumari,0
2011,North East,E12000001,Total,2596886,9,Other religion,Other religion: Chinese Religion,0
2011,North West,E12000002,Total,7052177,19,Other religion,Other religion: Chinese Religion,0
2011,Yorkshire and The Humber,E12000003,Total,5283733,14,Other religion,Other religion: Chinese Religion,0
2011,East Midlands,E12000004,Total,4533222,17,Other religion,Other religion: Chinese Religion,0
2011,West Midlands,E12000005,Total,5601847,12,Other religion,Other religion: Chinese Religion,0
2011,East,E12000006,Total,5846965,15,Other religion,Other religion: Chinese Religion,0
2011,London,E12000007,Total,8173941,68,Other religion,Other religion: Chinese Religion,0
2011,South East,E12000008,Total,8634750,12,Other religion,Other religion: Chinese Religion,0
