date,geography,geography_code,Rural_Urban,total_pop,value,religion,religion_det,percs
2011,North East,E12000001,Total,70611,19,Buddhist,Buddhist,0
2011,North West,E12000002,Total,379331,2416,Buddhist,Buddhist,0
2011,Yorkshire and The Humber,E12000003,Total,-516387,3069,Buddhist,Buddhist,0.1
2011,East Midlands,E12000004,Total,550762,-720,Buddhist,Buddhist,-0.1
2011,West Midlands,E12000005,Total,865921,245,Buddhist,Buddhist,0
2011,East,E12000006,Total,515653,-3458,Buddhist,Buddhist,-0.1
2011,London,E12000007,Total,502097,12215,Buddhist,Buddhist,0.1
2011,South East,E12000008,Total,267524,5848,Buddhist,Buddhist,0.1
2011,South West,E12000009,Total,277403,3187,Buddhist,Buddhist,0
2011,North East,E12000001,Total,70611,126552,Christian,Christian,3
2011,North West,E12000002,Total,379331,76506,Christian,Christian,-2.39999999999999
2011,Yorkshire and The Humber,E12000003,Total,-516387,-419034,Christian,Christian,-2.3
2011,East Midlands,E12000004,Total,550762,356043,Christian,Christian,0.600000000000001
2011,West Midlands,E12000005,Total,865921,647010,Christian,Christian,2
2011,East,E12000006,Total,515653,466691,Christian,Christian,2.5
2011,London,E12000007,Total,502097,25767,Christian,Christian,-2.5
2011,South East,E12000008,Total,267524,-32778,Christian,Christian,-2.2
2011,South West,E12000009,Total,277403,191008,Christian,Christian,0.399999999999999
2011,North East,E12000001,Total,70611,493,Hindu,Hindu,0
2011,North West,E12000002,Total,379331,4291,Hindu,Hindu,0.1
2011,Yorkshire and The Humber,E12000003,Total,-516387,4679,Hindu,Hindu,0.1
2011,East Midlands,E12000004,Total,550762,16277,Hindu,Hindu,0.1
2011,West Midlands,E12000005,Total,865921,7600,Hindu,Hindu,-0.1
2011,East,E12000006,Total,515653,-2129,Hindu,Hindu,-0.1
2011,London,E12000007,Total,502097,-6257,Hindu,Hindu,-0.3
2011,South East,E12000008,Total,267524,-4409,Hindu,Hindu,-0.1
2011,South West,E12000009,Total,277403,2859,Hindu,Hindu,0
2011,North East,E12000001,Total,70611,-424,Jewish,Jewish,0
2011,North West,E12000002,Total,379331,-910,Jewish,Jewish,0
2011,Yorkshire and The Humber,E12000003,Total,-516387,891,Jewish,Jewish,0
2011,East Midlands,E12000004,Total,550762,663,Jewish,Jewish,0
2011,West Midlands,E12000005,Total,865921,499,Jewish,Jewish,0
2011,East,E12000006,Total,515653,4846,Jewish,Jewish,0
2011,London,E12000007,Total,502097,5456,Jewish,Jewish,0
2011,South East,E12000008,Total,267524,-4,Jewish,Jewish,0
2011,South West,E12000009,Total,277403,-648,Jewish,Jewish,0
2011,North East,E12000001,Total,70611,3024,Muslim,Muslim,0.0999999999999999
2011,North West,E12000002,Total,379331,72373,Muslim,Muslim,0.7
2011,Yorkshire and The Humber,E12000003,Total,-516387,28837,Muslim,Muslim,1.2
2011,East Midlands,E12000004,Total,550762,29598,Muslim,Muslim,0.2
2011,West Midlands,E12000005,Total,865921,42876,Muslim,Muslim,-0.2
2011,East,E12000006,Total,515653,13583,Muslim,Muslim,0
2011,London,E12000007,Total,502097,-14135,Muslim,Muslim,-0.9
2011,South East,E12000008,Total,267524,17605,Muslim,Muslim,0.2
2011,South West,E12000009,Total,277403,-1462,Muslim,Muslim,-0.1
2011,North East,E12000001,Total,70611,197,No religion,No religion: Agnostic,0
2011,North West,E12000002,Total,379331,-94,No religion,No religion: Agnostic,0
2011,Yorkshire and The Humber,E12000003,Total,-516387,24,No religion,No religion: Agnostic,0.1
2011,East Midlands,E12000004,Total,550762,450,No religion,No religion: Agnostic,0
2011,West Midlands,E12000005,Total,865921,8,No religion,No religion: Agnostic,0
2011,East,E12000006,Total,515653,626,No religion,No religion: Agnostic,0
2011,London,E12000007,Total,502097,299,No religion,No religion: Agnostic,0
2011,South East,E12000008,Total,267524,193,No religion,No religion: Agnostic,0
2011,South West,E12000009,Total,277403,133,No religion,No religion: Agnostic,0
2011,North East,E12000001,Total,70611,165,No religion,No religion: Atheist,0
2011,North West,E12000002,Total,379331,-248,No religion,No religion: Atheist,0
2011,Yorkshire and The Humber,E12000003,Total,-516387,-204,No religion,No religion: Atheist,0
2011,East Midlands,E12000004,Total,550762,257,No religion,No religion: Atheist,0
2011,West Midlands,E12000005,Total,865921,428,No religion,No religion: Atheist,0
2011,East,E12000006,Total,515653,812,No religion,No religion: Atheist,0.1
2011,London,E12000007,Total,502097,830,No religion,No religion: Atheist,0
2011,South East,E12000008,Total,267524,810,No religion,No religion: Atheist,0
2011,South West,E12000009,Total,277403,566,No religion,No religion: Atheist,0
2011,North East,E12000001,Total,70611,0,No religion,No religion: Free Thinker,0
2011,North West,E12000002,Total,379331,3,No religion,No religion: Free Thinker,0
2011,Yorkshire and The Humber,E12000003,Total,-516387,3,No religion,No religion: Free Thinker,0
2011,East Midlands,E12000004,Total,550762,2,No religion,No religion: Free Thinker,0
2011,West Midlands,E12000005,Total,865921,8,No religion,No religion: Free Thinker,0
2011,East,E12000006,Total,515653,13,No religion,No religion: Free Thinker,0
2011,London,E12000007,Total,502097,17,No religion,No religion: Free Thinker,0
2011,South East,E12000008,Total,267524,19,No religion,No religion: Free Thinker,0
2011,South West,E12000009,Total,277403,11,No religion,No religion: Free Thinker,0
2011,North East,E12000001,Total,70611,-48357,No religion,No religion: No religion,-2.4
2011,North West,E12000002,Total,379331,182107,No religion,No religion: No religion,1.5
2011,Yorkshire and The Humber,E12000003,Total,-516387,-152455,No religion,No religion: No religion,-0.399999999999999
2011,East Midlands,E12000004,Total,550762,96651,No religion,No religion: No religion,-1.1
2011,West Midlands,E12000005,Total,865921,144324,No religion,No religion: No religion,-0.699999999999999
2011,East,E12000006,Total,515653,-6525,No religion,No religion: No religion,-2.4
2011,London,E12000007,Total,502097,360467,No religion,No religion: No religion,2.9
2011,South East,E12000008,Total,267524,243054,No religion,No religion: No religion,1.9
2011,South West,E12000009,Total,277403,52967,No religion,No religion: No religion,-0.5
2011,North East,E12000001,Total,70611,77,No religion,No religion: Humanist,0
2011,North West,E12000002,Total,379331,164,No religion,No religion: Humanist,0
